protocol,split,segment,fold,metric,slope,r_squared,range
testonly,test_final,new,7,ndcg,0.013420736233765143,0.39633027522935677,0.0201311043506478
testonly,test_final,new,8,ndcg,-0.008387960146103266,0.3668478260869561,0.0100655521753239
testonly,test_final,new,9,ndcg,-0.007488381811593614,0.31956521739130367,0.009627919472048996
testonly,val_inner,new,0,ndcg,0.013963856186942143,0.6222289677814342,0.01277696283807217
testonly,val_inner,new,1,ndcg,0.014171255506033504,0.5478166679047165,0.01557628283965129
testonly,val_inner,new,2,ndcg,0.009367199005723989,0.4287147110359579,0.011063736315117145
testonly,val_inner,new,3,ndcg,0.011006729268855152,0.5244105225737113,0.01101078855930826
testonly,val_inner,new,4,ndcg,0.021040790372986652,0.8285839086594893,0.01827667795830379
testonly,val_inner,new,5,ndcg,0.028504636861509686,0.9486605015234163,0.02006217392305687
testonly,val_inner,new,6,ndcg,0.0024376297453981297,0.015201389499362106,0.01541464857611674
testonly,val_inner,new,7,ndcg,0.0044906915160978405,0.2514938611655355,0.007688310152488609
testonly,val_inner,new,8,ndcg,0.0056565901638854586,0.4787162248384391,0.0074928446401372195
testonly,val_inner,new,9,ndcg,0.00037419789287784826,0.00195014238486873,0.006847158479086457
testonly,test_final,regular,0,ndcg,0.037464929337283896,0.9859082514342091,0.03126961972825437
testonly,test_final,regular,1,ndcg,0.029584983971170778,0.8832322440354516,0.024261595090682042
testonly,test_final,regular,2,ndcg,0.0313793291166855,0.9372470956021474,0.02614684322265004
testonly,test_final,regular,3,ndcg,0.03576624319623521,0.9655880021490778,0.027794266535270507
testonly,test_final,regular,4,ndcg,0.040296637926602534,0.9613839916864516,0.0307534043982306
testonly,test_final,regular,5,ndcg,0.0347231116814373,0.8672366906157196,0.02848353898111633
testonly,test_final,regular,6,ndcg,0.024950553122686066,0.9128445560446597,0.01985672626836399
testonly,test_final,regular,7,ndcg,0.020362554856491785,0.6459267452969614,0.019939798406063858
testonly,test_final,regular,8,ndcg,0.038687504475596046,0.9479584988428407,0.031167688244057246
testonly,test_final,regular,9,ndcg,0.02968039511344829,0.9334728663354465,0.02379925043503428
testonly,val_inner,regular,0,ndcg,0.014877474218619161,0.7486555461197679,0.012933132615357112
testonly,val_inner,regular,1,ndcg,0.023741174535152787,0.9285745809007282,0.020444845610255724
testonly,val_inner,regular,2,ndcg,0.023794350576289834,0.8691261470851437,0.02104594815363925
testonly,val_inner,regular,3,ndcg,0.02786190350425747,0.9185582700853853,0.02275168825528917
testonly,val_inner,regular,4,ndcg,0.026769585546316144,0.9417674436880894,0.02165684286316849
testonly,val_inner,regular,5,ndcg,0.03622105925587543,0.9065019034917969,0.029096830039005983
testonly,val_inner,regular,6,ndcg,0.01902831374908855,0.781104227380867,0.01793499222687045
testonly,val_inner,regular,7,ndcg,0.0169545911667036,0.874103620177254,0.0136419586799853
testonly,val_inner,regular,8,ndcg,0.022971280667790844,0.9092343741117679,0.01859489629072031
testonly,val_inner,regular,9,ndcg,0.023015457369933937,0.962637053669598,0.019107985419115292
testonly,test_final,trend,0,ndcg,0.008495146203709706,0.5142127796251951,0.01005450177039846
testonly,test_final,trend,1,ndcg,0.025161903826155983,0.9723615839951643,0.019216245149556666
testonly,test_final,trend,2,ndcg,0.02281392443455399,0.9204315167004018,0.017617137044495634
testonly,test_final,trend,3,ndcg,0.00572884736269987,0.6171566846289862,0.006991858462187528
testonly,test_final,trend,4,ndcg,0.024924623291643373,0.8545458981846535,0.020143413232499796
testonly,test_final,trend,5,ndcg,0.012081075491611894,0.5830600116943518,0.015515513927239377
testonly,test_final,trend,6,ndcg,0.029330376632522602,0.9438366581012194,0.02327091135771775
testonly,test_final,trend,7,ndcg,0.008911926451071509,0.6195721300850077,0.010117201062503578
testonly,test_final,trend,8,ndcg,0.014771833622765112,0.8241816388613038,0.011409673775020335
testonly,test_final,trend,9,ndcg,-0.004395410222547117,0.09395047739336955,0.011449880233938559
testonly,val_inner,trend,0,ndcg,0.009292491301653473,0.7801691025248907,0.009303575680866594
testonly,val_inner,trend,1,ndcg,0.02048267992104715,0.8865142931525961,0.01623461498837442
testonly,val_inner,trend,2,ndcg,0.006427294241291755,0.4643412036444654,0.00747955211293827
testonly,val_inner,trend,3,ndcg,0.01035868449439307,0.7307298195799433,0.00961758166281812
testonly,val_inner,trend,4,ndcg,0.01817196859665236,0.9109978763990338,0.012768918774835547
testonly,val_inner,trend,5,ndcg,0.010641494662295562,0.5478523642383147,0.014794403317780258
testonly,val_inner,trend,6,ndcg,0.008952468495256861,0.39025906458664184,0.011503456655265087
testonly,val_inner,trend,7,ndcg,0.012455269079570707,0.6190381034645569,0.014133117447840848
testonly,val_inner,trend,8,ndcg,0.020311103153330658,0.9153394657042454,0.01729541111421784
testonly,val_inner,trend,9,ndcg,0.009722962325961796,0.48374597615764015,0.010381284451592698
fullcatalog,n/a,new,0,coverage,0.05439814814814816,0.9957926371149517,0.043402777777777776
fullcatalog,n/a,new,1,coverage,0.06438078703703703,0.9904551517172391,0.052083333333333336
fullcatalog,n/a,new,2,coverage,0.053964120370370364,0.9877579515335099,0.04513888888888888
fullcatalog,n/a,new,3,coverage,0.049479166666666664,0.9495886555531501,0.04166666666666667
fullcatalog,n/a,new,4,coverage,0.054976851851851846,0.9638661445354219,0.04600694444444444
fullcatalog,n/a,new,5,coverage,0.07913773148148148,0.991502452171608,0.06597222222222221
fullcatalog,n/a,new,6,coverage,0.04296875000000001,0.9927483493397364,0.034722222222222224
fullcatalog,n/a,new,7,coverage,0.12268518518518519,0.9885406356537993,0.09809027777777779
fullcatalog,n/a,new,8,coverage,0.045862268518518524,0.9933669434559117,0.03645833333333333
fullcatalog,n/a,new,9,coverage,0.05367476851851851,0.9703050098693483,0.04253472222222222
fullcatalog,n/a,regular,0,coverage,0.12702546296296297,0.9970562367427181,0.10243055555555555
fullcatalog,n/a,regular,1,coverage,0.13310185185185186,0.9580151519724732,0.11111111111111112
fullcatalog,n/a,regular,2,coverage,0.12427662037037036,0.9928965498681309,0.10243055555555555
fullcatalog,n/a,regular,3,coverage,0.11096643518518517,0.990185484413923,0.09201388888888888
fullcatalog,n/a,regular,4,coverage,0.10821759259259263,0.9790210442816484,0.08940972222222224
fullcatalog,n/a,regular,5,coverage,0.15957754629629634,0.9615232831385613,0.12847222222222224
fullcatalog,n/a,regular,6,coverage,0.11140046296296295,0.9861942781104459,0.08680555555555555
fullcatalog,n/a,regular,7,coverage,0.2042824074074074,0.9534882831181254,0.1675347222222222
fullcatalog,n/a,regular,8,coverage,0.12586805555555555,0.9927164941242307,0.09895833333333334
fullcatalog,n/a,regular,9,coverage,0.1456886574074074,0.9925179766922887,0.11805555555555557
fullcatalog,n/a,trend,0,coverage,0.0480324074074074,0.9705095092744773,0.035590277777777776
